gwn,country_name,grids,multigroup_grids,multigroup_grids_percent
700,Afghanistan,75082.0,5475,0.07292027383394156
339,Albania,3066.0,231,0.07534246575342465
615,Algeria,215760.0,2047,0.009487393400074156
232,Andorra,NA,NA,NA
540,Angola,96792.0,776,0.008017191503430035
58,Antigua and Barbuda,NA,NA,NA
160,Argentina,381444.0,40139,0.10522907687629114
371,Armenia,4484.0,58,0.012934879571810883
900,Australia,1183455.0,NA,NA
305,Austria,11346.0,138,0.012162876784769964
373,Azerbaijan,11390.0,432,0.037928007023705
31,Bahamas,NA,NA,NA
692,Bahrain,136.0,52,0.38235294117647056
771,Bangladesh,15651.0,77,0.004919813430451728
53,Barbados,NA,NA,NA
370,Belarus,27140.0,16675,0.614406779661017
211,Belgium,4464.0,123,0.027553763440860215
80,Belize,NA,NA,NA
434,Benin,11026.0,146,0.013241429348811899
760,Bhutan,3159.0,77,0.02437480215257993
145,Bolivia,92538.0,22200,0.2399014458924982
346,Bosnia and Herzegovina,5952.0,3534,0.59375
571,Botswana,49050.0,2843,0.05796126401630989
140,Brazil,881717.0,NA,NA
835,Brunei,NA,NA,NA
355,Bulgaria,10650.0,582,0.05464788732394366
439,Burkina Faso,NA,NA,NA
516,Burundi,2288.0,1373,0.6000874125874126
811,Cambodia,13081.0,716,0.05473587646204418
471,Cameroon,50690.0,173,0.0034129019530479386
20,Canada,2110395.0,NA,NA
402,Cape Verde,NA,NA,NA
482,Central African Republic,66043.0,4681,0.07087806429144648
483,Chad,94116.0,31866,0.33858217518806577
155,Chile,952426.0,NA,NA
710,China,1245483.0,NA,NA
100,Colombia,143824.0,10324,0.07178217821782178
581,Comoros,NA,NA,NA
484,Congo,37620.0,4569,0.12145135566188198
490,"Congo, DRC",207016.0,43348,0.2093944429416084
94,Costa Rica,6156.0,481,0.0781351526965562
437,Cote d'Ivoire,22638.0,532,0.02350030921459493
344,Croatia,14058.0,4155,0.29556124626547164
40,Cuba,21060.0,6035,0.2865622032288699
352,Cyprus,1456.0,603,0.4141483516483517
316,Czech Republic,NA,NA,NA
390,Denmark,NA,NA,NA
522,Djibouti,1680.0,30,0.017857142857142856
54,Dominica,NA,NA,NA
42,Dominican Republic,NA,NA,NA
130,Ecuador,61225.0,9130,0.1491220906492446
651,Egypt,67744.0,68,0.0010037789324515824
92,El Salvador,1740.0,568,0.3264367816091954
411,Equatorial Guinea,NA,NA,NA
531,Eritrea,21600.0,4218,0.19527777777777777
366,Estonia,7803.0,0,0.0
530,Ethiopia,99e3,4616,0.04662626262626263
950,Fiji,622080.0,NA,NA
375,Finland,71630.0,216,0.0030154963004327797
220,France,80152.0,48,5.988621618924045e-4
481,Gabon,20850.0,1152,0.05525179856115108
372,Georgia,9821.0,3793,0.38621321657672336
260,Germany,NA,NA,NA
452,Ghana,16585.0,659,0.03973470003014772
350,Greece,33948.0,222,0.006539413220219159
55,Grenada,NA,NA,NA
90,Guatemala,9506.0,2723,0.2864506627393225
438,Guinea,23318.0,962,0.04125568230551505
404,Guinea-Bissau,3108.0,84,0.02702702702702703
110,Guyana,20886.0,680,0.032557694149190845
41,Haiti,NA,NA,NA
91,Honduras,12218.0,892,0.07300703879522016
310,Hungary,11016.0,0,0.0
395,Iceland,NA,NA,NA
750,India,484380.0,156387,0.3228601511210207
850,Indonesia,443996.0,11008,0.024793016153298677
630,Iran,163439.0,4857,0.029717509284809623
645,Iraq,46800.0,2290,0.04893162393162393
205,Ireland,NA,NA,NA
666,Israel,3680.0,1666,0.45271739130434785
325,Italy,71250.0,3008,0.042217543859649126
51,Jamaica,NA,NA,NA
740,Japan,270810.0,205,7.569882943761309e-4
663,Jordan,10400.0,5115,0.49182692307692305
705,Kazakhstan,349860.0,42729,0.12213170982678785
501,Kenya,42816.0,1295,0.030245702541106128
970,Kiribati,NA,NA,NA
347,Kosovo,1428.0,102,0.07142857142857142
690,Kuwait,1665.0,989,0.593993993993994
703,Kyrgyzstan,25440.0,750,0.0294811320754717
812,Laos,37698.0,1409,0.03737598811608043
367,Latvia,10150.0,99,0.009753694581280788
660,Lebanon,1443.0,659,0.4566874566874567
570,Lesotho,NA,NA,NA
450,Liberia,9900.0,2508,0.25333333333333335
620,Libya,136779.0,962,0.007033243407248189
223,Liechtenstein,NA,NA,NA
368,Lithuania,8742.0,377,0.04312514298787463
212,Luxembourg,NA,NA,NA
343,Macedonia,2232.0,234,0.10483870967741936
580,Madagascar,56898.0,543,0.009543393440894232
553,Malawi,14508.0,178,0.012269092914254204
820,Malaysia,73632.0,2278,0.030937635810517165
781,Maldives,NA,NA,NA
432,Mali,141372.0,1974,0.013963161021984551
338,Malta,NA,NA,NA
983,Marshall Is.,NA,NA,NA
435,Mauritania,89090.0,45552,0.5113031765630262
590,Mauritius,2980.0,135,0.04530201342281879
70,Mexico,331360.0,18128,0.054707870593915985
987,Micronesia,NA,NA,NA
359,Moldova,6048.0,472,0.07804232804232804
221,Monaco,NA,NA,NA
712,Mongolia,195316.0,134,6.860677056667145e-4
341,Montenegro,1886.0,218,0.11558854718981973
600,Morocco,140504.0,31803,0.22634942777429823
541,Mozambique,100470.0,91,9.057430078630437e-4
775,Myanmar,96535.0,4962,0.05140104625265448
565,Namibia,93600.0,21902,0.2339957264957265
971,Nauru,NA,NA,NA
790,Nepal,19012.0,5532,0.2909741216074058
210,Netherlands,NA,NA,NA
920,New Zealand,3721696.0,NA,NA
93,Nicaragua,11440.0,253,0.022115384615384617
436,Niger,107920.0,1953,0.01809673832468495
475,Nigeria,66010.0,476,0.007211028632025451
731,North Korea,NA,NA,NA
385,Norway,NA,NA,NA
698,Oman,NA,NA,NA
770,Pakistan,130240.0,2369,0.018189496314496314
986,Palau,NA,NA,NA
95,Panama,8120.0,836,0.10295566502463054
910,Papua New Guinea,NA,NA,NA
150,Paraguay,39999.0,10146,0.2536563414085352
135,Peru,133895.0,10397,0.07765039769969005
840,Philippines,79464.0,2501,0.03147337158965066
290,Poland,33460.0,612,0.018290496114763896
235,Portugal,NA,NA,NA
694,Qatar,NA,NA,NA
360,Romania,25086.0,4621,0.18420633022402935
365,Russia,7577280.0,NA,NA
517,Rwanda,2064.0,1280,0.6201550387596899
990,Samoa,NA,NA,NA
331,San Marino,NA,NA,NA
403,Sao Tome and Principe,NA,NA,NA
670,Saudi Arabia,191774.0,179,9.333903448851252e-4
433,Senegal,15688.0,2113,0.1346889342172361
340,Serbia,9400.0,5402,0.5746808510638298
591,Seychelles,NA,NA,NA
451,Sierra Leone,5402.0,1273,0.23565346168085893
830,Singapore,NA,NA,NA
317,Slovakia,6028.0,533,0.08842070338420703
349,Slovenia,2730.0,0,0.0
940,Solomon Is.,NA,NA,NA
520,Somalia,NA,NA,NA
560,South Africa,305748.0,68866,0.2252377775161244
732,South Korea,NA,NA,NA
626,South Sudan,59072.0,1879,0.031808640303358615
230,Spain,208980.0,1408,0.006737486840846014
780,Sri Lanka,4888.0,1890,0.38666121112929625
60,St. Kitts and Nevis,NA,NA,NA
56,St. Lucia,NA,NA,NA
57,St. Vincent and the Grenadines,NA,NA,NA
625,Sudan,131781.0,5803,0.04403517957823966
115,Suriname,NA,NA,NA
572,Swaziland,NA,NA,NA
380,Sweden,NA,NA,NA
225,Switzerland,5123.0,155,0.030255709545188365
652,Syria,18921.0,1917,0.10131599809735214
713,Taiwan,3807.0,124,0.032571578670869454
702,Tajikistan,19635.0,919,0.04680417621594092
510,Tanzania,68628.0,42153,0.6142245147753104
800,Thailand,70844.0,1928,0.027214725311953025
420,The Gambia,1387.0,120,0.08651766402307137
860,Timor Leste,NA,NA,NA
461,Togo,5687.0,0,0.0
972,Tonga,NA,NA,NA
52,Trinidad and Tobago,1023.0,274,0.2678396871945259
616,Tunisia,NA,NA,NA
640,Turkey,69460.0,3296,0.04745177080334005
701,Turkmenistan,62403.0,0,0.0
973,Tuvalu,NA,NA,NA
500,Uganda,17680.0,6166,0.34875565610859727
369,Ukraine,82944.0,10357,0.12486738040123457
696,United Arab Emirates,NA,NA,NA
200,United Kingdom,62118.0,1035,0.016661837148652565
2,United States,3358860.0,NA,NA
165,Uruguay,15093.0,0,0.0
704,Uzbekistan,83224.0,783,0.009408343746996058
935,Vanuatu,NA,NA,NA
101,Venezuela,90302.0,2110,0.023366038404465016
816,Vietnam,62480.0,5274,0.08441101152368757
678,Yemen,47190.0,11947,0.253168044077135
551,Zambia,66597.0,2854,0.04285478324849468
552,Zimbabwe,30644.0,15354,0.5010442500978984
